"timestamp","src_ip","dst_ip","src_port","dst_port","protocol","packet_length","len","inter_arrival","tcp_flags","payload_raw","method","url","http_status","http_headers","http_body","attack_type","is_tls_heartbeat","is_login_failure","is_ssh_handshake_failure","session_key","sess_pkt_count","sess_byte_count"
"2025-05-21 23:04:30.425793","172.20.10.3","157.255.4.54","61089","443","TCP","54","54","0.0011899471282958984","A","","","","","","","Normal","False","False","False","172.20.10.3:61089->157.255.4.54:443/TCP","1","54"
"2025-05-21 23:04:30.424603","112.91.137.251","172.20.10.3","30021","59483","TCP","66","66","104.13802599906921","A","","","","","","","Normal","False","False","False","112.91.137.251:30021->172.20.10.3:59483/TCP","1","66"
"2025-05-21 23:04:30.509732","157.255.4.54","172.20.10.3","443","61089","TCP","54","54","0.0839390754699707","A","","","","","","","Normal","False","False","False","157.255.4.54:443->172.20.10.3:61089/TCP","1","54"
"2025-05-21 23:04:30.862774","172.20.10.3","112.91.137.251","59390","30021","TCP","186","186","-0.0002961158752441406","PA","7f4fb06c2b58f1d127113ea581a99ec6cdebb376fee101b2d1b6785a8f8fbf9ab65dfbd2840ff72a68481b712a5eb2ee1fbbec7a564869c826eab2d9e7ed3267118b89fd93a479191fbcb4c00007f424a6e44469c332e26eb9fa738c634d07490e8398122ee0d4e6d967abb1af51a841fa02bc1dfc554339","","","","","","Normal","False","False","False","172.20.10.3:59390->112.91.137.251:30021/TCP","2","1055"
"2025-05-21 23:04:30.863070","172.20.10.3","112.91.137.251","59390","30021","TCP","869","869","0.35333800315856934","PA","1d5b2a1af6cc12bc30b12c563fc1db045479245bf6a16a2961e0a4ed8537907bdb7388053f5bea8df49268f1dca7b7eb783e4e9415fcf40dd45497a1ed25991384c16aa44a22f00fd8dad45af68681151e55d2d120abf83715e7deb46e61c2f0924ac982c33231f30dc2cc03b7da1ea76a2ab1b77c176cd92042bb9b9df47ccc703015f437a7d0c773e0d3d421dbdb49cd5e415833087f01263bb8129b4241f26ed92989deff28e92ffbe35f85d498764be702c19ba7bc5a0f6eeea53ddbe91143870a50903cf5c352f1f7a2fabc9ec33c6de7dec616ead77aae50f8fe34c88061aa9eaed0c8ff5098f9f2452e624e0e5ac7081b12d68da608769fdd2524d67c6827d2f0775d6e3ed3b78deb385afe07246cfbf2b231b1c06a03d636466b025eb98ed2e03f81755ab699bc63d2494d27bbb234853a3be2b65f850729c6d337a2e6e02fca913565271682f08cf035af2759a6c88a6726269eebf78dc150bb0881a9c75f167b5e5768fc47e24f251a7d8935e834facb2f6c9bd4fadb7f9b6befd32c12dba4fbb880297ad63d70d8a421ce80e3edc678d3646ea6077bc1bcbee6157e50d794a6b56501550246c377f2c2f94f5f88552d4e96ea3015e84d80060a25c00be9f20a1adca32682b4025a3f129c6fce7d6fe6d980180a2510bbbb13373c68deba628e244906f6aff1195ea9a936cc96bcd774e8339ea29604b7ccdc1adb4b1ab084a49e8d3b9e183cff534570d99961705e36977172d7bae23a7ab764278a600e5a1cb14894516111fd10aa3b9ff945a299d368e50b70d4a285813f46a54ad60a0b75431480b8080bee70e577771dc7dd472806831b3ae0345b7e987554256f2ccdbd7aaf72804ab515335c1864d06f655d611e5d003dd9ef4cd3385c649793aef68bab554f8ee4c7c0117a04cc532f104241881a0f399088c108ce32a072d964b0e598719e9976f37990af05d24ea2c3286831af516b89e15514b2cb18e847e12fabb382c53640c54a13c9cf09474efe1c25b0825bdb19d4eeba9cbad5bfaafc9ce6fd92b9d243ef5cb4a1f6d6bc250eefb7570af7332ec86f246ecffe9b7a4ddab15f3f0f1a0fc188befe20a3f20940cc3698876187a0fc8c145f93a6ce3376","","","","","","Normal","False","False","False","172.20.10.3:59390->112.91.137.251:30021/TCP","1","869"
"2025-05-21 23:04:30.938557","112.91.137.251","172.20.10.3","30021","59390","TCP","66","66","0.07578301429748535","A","","","","","","","Normal","False","False","False","112.91.137.251:30021->172.20.10.3:59390/TCP","1","66"
"2025-05-21 23:04:30.950652","112.91.137.251","172.20.10.3","30021","59390","TCP","66","66","0.012094974517822266","A","","","","","","","Normal","False","False","False","112.91.137.251:30021->172.20.10.3:59390/TCP","2","132"
"2025-05-21 23:04:31.332318","112.91.137.251","172.20.10.3","30021","59390","TCP","260","260","0.3816661834716797","PA","1bc9a64c19958ee42ec0a198648c66ff1feb5edd4b7029d2e733615add3009aaa72798fe8ecb7b61a55498c8873ca11c2d953df7f87141dbe1ccabf6790f8df35330710dd195933f64e15594acd3cec47eb1adfdca90e1385f7ad6ba6c24e1b9abc147f5784ce3d4f56ad14e812db234173e6a6585d67c9cf7f99e011ab3940335f8a4e39564c9985551c2d40bdc72f089c45414e221cfd8c7416a757313f8e78290ba4beb1da331b9084d3390c35ef3d3f41cbe5069856d621cb12d2d5722be84d5","","","","","","Normal","False","False","False","112.91.137.251:30021->172.20.10.3:59390/TCP","3","392"
"2025-05-21 23:04:31.332426","172.20.10.3","112.91.137.251","59390","30021","TCP","66","66","0.00010800361633300781","A","","","","","","","Normal","False","False","False","172.20.10.3:59390->112.91.137.251:30021/TCP","3","1121"
"2025-05-21 23:04:32.834701","172.20.10.3","157.148.54.168","59210","8080","TCP","434","434","0.28881216049194336","PA","0000016c000000000000002165b7cdd8b339e1718f19a15bfa260b74418f0916a5f418955cb405fecbd6ca2c92869edf449953bd404059068b25b4a21aca6c6575f7995735d96222fdf8b477358b33f226c43ad3cb92572e2b2dc65fec56890fc5397f006b3f919379e8ef0c9f25f8fd879d618ad5bb062a4741fea07f6c315596be160d9131a305981ab4c98fb98c918d56a8f75ad59a6449ee9b30aedaddf6ff02394d6534148d762e787d74be48196822ab47657d6f38d18ba9323ebd70e0f853d184c717ea773eefd47a72db8d855b35256000be8bcf8308ca7e101b570d04faf122c73343dfc1dd2e6d243f228347462dae47f52de1e1892b843891377c5f987277ac8d75e4e3216d51dbacdaee0d41e980a68d1b9b1e2123385f489b5c5c201c25b27f00182261a998282a0c6efcdcf870095986210274b49a7d71e44dec4cecad29d8c6a7de65fb0eaabaf56587b70633d5948e531a388f45798eb00514f415cf7c0e9ece96b400f6f76e784c","","","","","","Normal","False","False","False","172.20.10.3:59210->157.148.54.168:8080/TCP","1","434"
