inter_arrival,packet_length,sess_pkt_count,sess_byte_count,hour,minute,second,src_ip_int,dst_ip_int,src_port,dst_port,proto_TCP,tcp_flag_S,tcp_flag_A,tcp_flag_F,tcp_flag_R,tcp_flag_P,tcp_flag_U,payload_len,http_status,body_len,headers_count,is_tls_heartbeat,is_login_failure,is_ssh_handshake_failure
0.0,54,1,54,19,33,33,2886994434,3703905859,64469,443,True,0,1,0,0,0,0,0,0,0,0,0,0,0
0.1055808067321777,54,1,54,19,33,33,3703905859,2886994434,443,64469,True,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5621380805969238,176,1,176,19,33,33,2886994434,1885047291,64339,30021,True,0,1,0,0,1,0,110,0,0,0,0,0,0
0.0001530647277832,1434,2,1610,19,33,33,2886994434,1885047291,64339,30021,True,0,1,0,0,0,0,1368,0,0,0,0,0,0
1.9073486328125e-05,752,3,2362,19,33,33,2886994434,1885047291,64339,30021,True,0,1,0,0,1,0,686,0,0,0,0,0,0
0.1021327972412109,66,1,66,19,33,33,1885047291,2886994434,30021,64339,True,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0026741027832031,66,2,132,19,33,33,1885047291,2886994434,30021,64339,True,0,1,0,0,0,0,0,0,0,0,0,0,0
5.0067901611328125e-06,66,3,198,19,33,33,1885047291,2886994434,30021,64339,True,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0001819133758544,66,4,2428,19,33,33,2886994434,1885047291,64339,30021,True,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0835590362548828,612,4,810,19,33,33,1885047291,2886994434,30021,64339,True,0,1,0,0,1,0,546,0,0,0,0,0,0
0.550666093826294,435,1,435,19,33,34,0,0,54960,64157,True,0,1,0,0,1,0,349,0,0,0,0,0,0
-0.0002920627593994,86,3,871,19,33,34,0,0,64157,54960,True,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0006430149078369,350,2,785,19,33,34,0,0,64157,54960,True,0,1,0,0,1,0,264,0,0,0,0,0,0
0.0090129375457763,86,4,957,19,33,34,0,0,54960,64157,True,0,1,0,0,0,0,0,0,0,0,0,0,0
0.9330620765686036,54,1,54,19,33,35,2886994434,301520961,64498,443,True,0,1,0,0,0,0,0,0,0,0,0,0,0
0.106597900390625,66,1,66,19,33,35,301520961,2886994434,443,64498,True,0,1,0,0,0,0,0,0,0,0,0,0,0
0.9769861698150636,54,1,54,19,33,36,2886994434,1885047291,64463,30021,True,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0001227855682373,54,1,54,19,33,36,2886994434,1885047291,64449,30021,True,0,1,0,0,0,0,0,0,0,0,0,0,0
-3.0994415283203125e-05,54,1,54,19,33,36,2886994434,1885047291,64461,30021,True,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0080540180206298,66,1,66,19,33,36,2886994434,1885047291,64343,30021,True,0,1,0,0,0,0,0,0,0,0,0,0,0
