inter_arrival,packet_length,sess_pkt_count,sess_byte_count
0.0,304,1,304
0.0055630207061767,54,1,54
0.0001051425933837,66,1,66
3.814697265625e-06,54,2,108
0.0021710395812988,74,1,74
9.894371032714844e-05,1434,4,1713
0.0001928806304931,82,2,148
5.0067901611328125e-06,469,5,2182
4.601478576660156e-05,131,3,279
0.0038268566131591,78,1,78
2.7179718017578125e-05,78,1,78
0.0239579677581787,66,1,66
0.0073859691619873,66,2,140
5.0067901611328125e-06,66,3,206
0.0008749961853027,66,4,272
2.86102294921875e-06,66,5,338
5.0067901611328125e-06,66,1,66
0.023069143295288,66,1,66
0.0001599788665771,54,2,132
-5.0067901611328125e-05,54,2,132
0.0026540756225585,571,3,703
7.867813110351562e-06,571,3,703
0.0202491283416748,78,1,78
0.0199990272521972,100,6,2282
-0.0002219676971435,66,6,404
0.0001099109649658,66,7,2348
3.814697265625e-06,78,1,78
0.000154972076416,66,8,2414
1.9073486328125e-06,54,2,120
0.0012431144714355,1434,3,1554
0.0157489776611328,54,2,120
9.5367431640625e-07,1282,5,4270
1.9073486328125e-06,1434,4,2988
8.20159912109375e-05,54,4,757
0.0004951953887939,1434,3,1554
5.3882598876953125e-05,54,4,757
9.5367431640625e-07,1282,5,4270
9.5367431640625e-07,1434,4,2988
0.0036292076110839,66,1,66
0.0001008510589599,54,2,132
4.410743713378906e-05,54,5,811
4.696846008300781e-05,571,3,703
1.2874603271484377e-05,134,6,945
0.0009291172027587,54,5,811
0.0001308917999267,134,6,945
3.0994415283203125e-06,54,8,512
0.0070180892944335,54,7,458
0.0001041889190673,66,2,144
0.0020468235015869,74,1,74
0.0001749992370605,82,3,226
2.694129943847656e-05,123,4,349
0.0001089572906494,1434,5,1783
5.0067901611328125e-06,493,6,2276
0.0141549110412597,54,2,120
1.1920928955078125e-06,54,6,4324
0.0015718936920166,1434,3,1554
1.9073486328125e-06,309,7,4633
4.1961669921875e-05,54,7,999
7.605552673339844e-05,54,4,757
0.003209114074707,1434,4,2988
2.86102294921875e-06,1282,5,4270
1.1920928955078125e-06,309,8,4942
9.5367431640625e-07,309,7,4633
9.5367431640625e-07,54,6,4324
9.5367431640625e-07,293,8,4926
9.012222290039062e-05,54,5,811
4.291534423828125e-05,54,8,1053
2.193450927734375e-05,54,7,999
0.0014581680297851,134,6,945
0.0138168334960937,66,2,140
4.0531158447265625e-06,66,3,206
0.002748966217041,66,4,272
2.1457672119140625e-06,66,5,338
5.9604644775390625e-06,293,7,4617
0.0119528770446777,54,6,4324
9.5367431640625e-07,309,8,4926
0.0001101493835449,54,7,999
0.0031919479370117,141,9,5067
8.797645568847656e-05,54,8,1053
0.003274917602539,105,9,1158
0.0092542171478271,141,9,5083
0.0001039505004882,54,9,1107
0.0022399425506591,105,10,1212
